,cation_exchange_capacity,crop_name,humidity,nitrogen,phosphorus,potassium,rainfall,soil_moisture,soil_ph,temperature,test
0,44,rice,82.00274423,90.0,42.0,43.0,202.9355362,5.5,6.502985292,20.87974371,test 1
1,42,rice,80.31964408,85.0,58.0,41.0,226.6555374,5.5,7.038096361,21.77046169,test 1
2,33,rice,82.3207629,60.0,55.0,44.0,263.9642476,5.5,7.840207144,23.00445915,test 1
3,32,rice,80.15836264,74.0,35.0,40.0,242.8640342,5.5,6.980400905,26.49109635,test 1
4,35,rice,81.60487287,78.0,42.0,42.0,262.7173405,5.5,7.628472891,20.13017482,test 1
5,31,rice,83.37011772,69.0,37.0,42.0,251.0549998,5.5,7.073453503,23.05804872,test 1
6,30,rice,82.63941394,69.0,55.0,38.0,271.3248604,5.5,5.70080568,22.70883798,test 1
7,25,rice,82.89408619,94.0,53.0,40.0,241.9741949,5.0,5.718627178,20.27774362,test 1
8,27,rice,83.5352163,89.0,54.0,38.0,230.4462359,5.5,6.685346424,24.51588066,test 1
9,28,rice,83.03322691,68.0,58.0,38.0,221.2091958,5.5,6.336253525,23.22397386,test 1
10,31,rice,81.41753846,91.0,53.0,40.0,264.6148697,6.5,5.386167788,26.52723513,test 1
11,32,rice,81.45061596,90.0,46.0,42.0,250.0832336,5.0,7.50283396,23.97898217,test 1
12,33,rice,80.88684822,78.0,58.0,44.0,284.4364567,4.0,5.108681786,26.80079604,test 1
13,36,rice,82.05687182,93.0,56.0,36.0,185.2773389,5.5,6.98435366,24.01497622,test 1
14,39,rice,80.66385045,94.0,50.0,37.0,209.5869708,5.5,6.94801983,25.66585205,test 1
15,7,rice,80.30025587,60.0,48.0,39.0,231.0863347,6.5,7.042299069,24.28209415,test 1
16,6,rice,82.7883708,85.0,38.0,41.0,276.6552459,4.0,6.249050656,21.58711777,test 1
17,44,rice,80.41817957,91.0,35.0,39.0,206.2611855,6.0,6.970859754,23.79391957,test 1
18,42,rice,80.1923008,77.0,38.0,36.0,224.5550169,5.0,5.953933276,21.8652524,test 1
19,43,rice,83.58760316,88.0,35.0,40.0,291.2986618,5.5,5.85393208,23.57943626,test 1
20,44,rice,80.47476396,89.0,45.0,36.0,185.4974732,5.5,6.442475375,21.32504158,test 1
