,State_Name,District_Name,Crop_Year,Season,crop_name,Area,Production,test
177690,Tamil Nadu,ARIYALUR,2009,Kharif     ,Rice,25978.0,80462.0,area
177691,Tamil Nadu,ARIYALUR,2009,Kharif     ,Small millets,404.0,649.0,area
177692,Tamil Nadu,ARIYALUR,2009,Whole Year ,Arhar/Tur,160.0,122.0,area
177693,Tamil Nadu,ARIYALUR,2009,Whole Year ,Bajra,644.0,1082.0,area
177694,Tamil Nadu,ARIYALUR,2009,Whole Year ,Banana,134.0,5761.0,area
177695,Tamil Nadu,ARIYALUR,2009,Whole Year ,Cashewnut,31188.0,9975.0,area
177696,Tamil Nadu,ARIYALUR,2009,Whole Year ,Castor seed,21.0,6.0,area
177697,Tamil Nadu,ARIYALUR,2009,Whole Year ,Coconut ,336.0,5200.0,area
177698,Tamil Nadu,ARIYALUR,2009,Whole Year ,Coriander,338.0,134.0,area
177699,Tamil Nadu,ARIYALUR,2009,Whole Year ,Cotton(lint),4074.0,11033.0,area
177700,Tamil Nadu,ARIYALUR,2009,Whole Year ,Dry chillies,1676.0,608.0,area
177701,Tamil Nadu,ARIYALUR,2009,Whole Year ,Groundnut,13878.0,27002.0,area
177702,Tamil Nadu,ARIYALUR,2009,Whole Year ,Jowar,4959.0,7043.0,area
177703,Tamil Nadu,ARIYALUR,2009,Whole Year ,Maize,9979.0,23891.0,area
177704,Tamil Nadu,ARIYALUR,2009,Whole Year ,Moong(Green Gram),13.0,11.0,area
177705,Tamil Nadu,ARIYALUR,2009,Whole Year ,Onion,47.0,458.0,area
177706,Tamil Nadu,ARIYALUR,2009,Whole Year ,Ragi,47.0,130.0,area
177707,Tamil Nadu,ARIYALUR,2009,Whole Year ,Sesamum,1652.0,452.0,area
177708,Tamil Nadu,ARIYALUR,2009,Whole Year ,Sugarcane,6970.0,809944.0,area
177709,Tamil Nadu,ARIYALUR,2009,Whole Year ,Sunflower,111.0,148.0,area
177710,Tamil Nadu,ARIYALUR,2009,Whole Year ,Sweet potato,2.0,29.0,area
177711,Tamil Nadu,ARIYALUR,2009,Whole Year ,Tapioca,257.0,8858.0,area
177712,Tamil Nadu,ARIYALUR,2009,Whole Year ,Turmeric,21.0,106.0,area
177713,Tamil Nadu,ARIYALUR,2009,Whole Year ,Urad,1046.0,400.0,area
177714,Tamil Nadu,ARIYALUR,2010,Kharif     ,Arhar/Tur,209.0,138.0,area
177715,Tamil Nadu,ARIYALUR,2010,Kharif     ,Castor seed,27.0,7.0,area
177716,Tamil Nadu,ARIYALUR,2010,Kharif     ,Cotton(lint),5684.0,9361.0,area
177717,Tamil Nadu,ARIYALUR,2010,Kharif     ,Groundnut,12058.0,37266.0,area
177718,Tamil Nadu,ARIYALUR,2010,Kharif     ,Maize,9996.0,8630.0,area
177719,Tamil Nadu,ARIYALUR,2010,Kharif     ,Moong(Green Gram),4.0,2.0,area
177720,Tamil Nadu,ARIYALUR,2010,Kharif     ,Ragi,42.0,109.0,area
177721,Tamil Nadu,ARIYALUR,2010,Kharif     ,Rice,25211.0,97869.0,area
177722,Tamil Nadu,ARIYALUR,2010,Kharif     ,Sunflower,202.0,245.0,area
177723,Tamil Nadu,ARIYALUR,2010,Kharif     ,Urad,1526.0,741.0,area
177724,Tamil Nadu,ARIYALUR,2010,Whole Year ,Sugarcane,7500.0,739006.0,area
177725,Tamil Nadu,ARIYALUR,2011,Kharif     ,Bajra,590.0,1499.0,area
177726,Tamil Nadu,ARIYALUR,2011,Kharif     ,Cotton(lint),7661.0,36179.0,area
177727,Tamil Nadu,ARIYALUR,2011,Kharif     ,Groundnut,9999.0,35766.0,area
177728,Tamil Nadu,ARIYALUR,2011,Kharif     ,Jowar,1659.0,2114.0,area
177729,Tamil Nadu,ARIYALUR,2011,Kharif     ,Maize,11778.0,60881.0,area
177730,Tamil Nadu,ARIYALUR,2011,Kharif     ,Ragi,14.0,37.0,area
177731,Tamil Nadu,ARIYALUR,2011,Kharif     ,Rice,24097.0,97257.0,area
177732,Tamil Nadu,ARIYALUR,2011,Rabi       ,Bajra,6.0,18.0,area
177733,Tamil Nadu,ARIYALUR,2011,Rabi       ,Cotton(lint),150.0,413.0,area
177734,Tamil Nadu,ARIYALUR,2011,Rabi       ,Groundnut,3028.0,18093.0,area
177735,Tamil Nadu,ARIYALUR,2011,Rabi       ,Jowar,15.0,22.0,area
177736,Tamil Nadu,ARIYALUR,2011,Rabi       ,Maize,357.0,2374.0,area
177737,Tamil Nadu,ARIYALUR,2011,Rabi       ,Ragi,3.0,9.0,area
177738,Tamil Nadu,ARIYALUR,2011,Whole Year ,Arhar/Tur,192.0,167.0,area
177739,Tamil Nadu,ARIYALUR,2011,Whole Year ,Banana,144.0,6292.0,area
177740,Tamil Nadu,ARIYALUR,2011,Whole Year ,Cashewnut,29930.0,6468.0,area
177741,Tamil Nadu,ARIYALUR,2011,Whole Year ,Castor seed,38.0,8.0,area
177742,Tamil Nadu,ARIYALUR,2011,Whole Year ,Coconut ,323.0,2600000.0,area
177743,Tamil Nadu,ARIYALUR,2011,Whole Year ,Coriander,75.0,35.0,area
177744,Tamil Nadu,ARIYALUR,2011,Whole Year ,Dry chillies,735.0,509.0,area
177745,Tamil Nadu,ARIYALUR,2011,Whole Year ,Moong(Green Gram),6.0,4.0,area
177746,Tamil Nadu,ARIYALUR,2011,Whole Year ,Onion,26.0,329.0,area
177747,Tamil Nadu,ARIYALUR,2011,Whole Year ,Small millets,259.0,705.0,area
177748,Tamil Nadu,ARIYALUR,2011,Whole Year ,Sugarcane,7967.0,880259.0,area
